timestep,elites,commoners,nature,wealth
377,0,94460.4,0.0019573,384.92
378,0,95802.5,0.000834824,346.706
379,0,96586,0.000337511,312.281
380,0,96880.8,0.000132068,281.28
381,0,96756.7,5.10319e-05,253.341
382,0,96268,1.9824e-05,228.189
383,0,95461.1,7.86172e-06,205.537
384,0,94390.6,3.22286e-06,185.127
385,0,93087.3,1.37844e-06,166.748
386,0,91597.8,6.19362e-07,150.187
387,0,89945.3,2.93599e-07,135.277
388,0,88161,1.47217e-07,121.841
389,0,86268.1,7.81739e-08,109.742
390,0,84289.9,4.39663e-08,98.8478
391,0,82249.6,2.61687e-08,89.0293
392,0,80162.7,1.64618e-08,80.1881
393,0,78037.1,1.09248e-08,72.2257
394,0,75895.9,7.63513e-09,65.0513
395,0,73739.3,5.6075e-09,58.5921
396,0,71582.6,4.31896e-09,52.7738
397,0,69433.7,3.48072e-09,47.535
398,0,67308,2.92927e-09,42.8151
399,0,65198.5,2.56855e-09,38.565
400,0,63119.5,2.34211e-09,34.7353
401,0,61071.4,2.21621e-09,31.2849
402,0,59058.2,2.17233e-09,28.1787
403,0,57083.9,2.20188e-09,25.3813
404,0,55152.2,2.30396e-09,22.8604
405,0,53263.2,2.48454e-09,20.5895
406,0,51420.7,2.75707e-09,18.5458
407,0,49624.7,3.14381e-09,16.7049
408,0,47875.4,3.6785e-09,15.0457
409,0,46172.5,4.41095e-09,13.5514
410,0,44516.2,5.41374e-09,12.2057
411,0,42910.4,6.79313e-09,10.9935
412,0,41351,8.70507e-09,9.90164
413,0,39838.3,1.13801e-08,8.91865
414,0,38372,1.51619e-08,8.03321
415,0,36952.4,2.05701e-08,7.23538
416,0,35579.2,2.83913e-08,6.51708
417,0,34252.6,3.98321e-08,5.86981
418,0,32968.7,5.67587e-08,5.28693
419,0,31729.1,8.20887e-08,4.76182
420,0,30532.4,1.20408e-07,4.2888
421,0,29376.5,1.79013e-07,3.86304
422,0,28261.3,2.6957e-07,3.47951
423,0,27185,4.1091e-07,3.13409
424,0,26147.3,6.337e-07,2.82277
425,0,25146.6,9.88178e-07,2.54246
426,0,24180.7,1.55737e-06,2.29008
427,0,23249.8,2.47929e-06,2.06256
428,0,22353.8,3.98525e-06,1.85778
429,0,21490.7,6.46524e-06,1.67335
430,0,20658.7,1.05809e-05,1.50715
431,0,19857.7,1.74628e-05,1.35752
432,0,19087.7,2.90535e-05,1.22269
433,0,18344.9,4.87057e-05,1.10124
434,0,17631.2,8.22528e-05,0.991868
435,0,16944.6,0.00013988,0.89338
436,0,16283.3,0.000239469,0.804717
437,0,15647.1,0.00041261,0.724873
438,0,15035.2,0.000715259,0.65302
439,0,14446.6,0.00124716,0.588328
440,0,13880.3,0.00218676,0.530206
441,0,13336.3,0.00385488,0.478062
442,0,12812.6,0.00682998,0.431452
443,0,12309.3,0.0121605,0.39005
444,0,11825.5,0.0217526,0.353798
445,0,11360,0.0390834,0.322932
446,0,10912.9,0.0705147,0.298221
447,0,10483.4,0.127726,0.281382
448,0,10070.2,0.232192,0.275641
449,0,9673.63,0.423455,0.287034
450,0,9292.53,0.774252,0.326453
451,0,8926.94,1.41784,0.41334
452,0,8575.9,2.5959,0.582187
453,0,8240.38,4.73754,0.893572
454,0,7919.95,8.57153,1.45219
455,0,7615.94,15.228,2.43376
456,0,7330.84,26.1241,4.11537
457,0,7068.53,42.1132,6.8825
458,0,6836.77,61.3827,11.1355
459,0,6647.19,77.9596,16.989
460,0,6515.79,86.4296,23.8964
461,0,6459.55,88.7402,30.8626
462,0,6487.67,89.1569,37.3025
463,0,6597.73,89.1645,43.6739
464,0,6722.34,89.0054,50.1552
